file_name,caption
Yr1nicOVtvkQ.wav,A woman talks nearby as water pours
YUDGBjjwyaqE.wav,Multiple clanging and clanking sounds
Y3eJ9RynJzP8.wav,"The wind is blowing, insects are singing, and rustling occurs"
Y3eK62q7SnVU.wav,The wind is blowing and rustling occurs
Y3eGXNIadwGk.wav,Person is whistling
Y3eHYGSux1Ps.wav,"A motorboat cruises along, and a man talks"
Y3eNWJ4Hle6Y.wav,The sizzling of food while a dish is clanking
Y3eQYsDrfsTc.wav,Someone has a hiccup while typing
Y3eL37ZUN5S4.wav,Aircraft engine hum with man and woman speaking
Y3eN7ujFJzXQ.wav,Hissing followed by clanking dishes and speech
Ypgeooj3u3CM.wav,A woman is talking the whole time something is sprayed a few times in the middle
Ypgl_pG7j7d8.wav,A man talks nearby as water pours out of a faucet
Y3eSIVCoTR2I.wav,Crackling noise precedes a fly buzzing
Y3eZrNSkyUmA.wav,A dog whimpers quietly
Y1OIVJfQTGVk.wav,Engine revving loudly
Y1OIm8vLHCwo.wav,An adult female speaks and a cat meows
Y77gagnj481E.wav,Child giving a speech and crowd clapping
Y77fnehVF7wE.wav,A dog barks twice and then whimpers
Y1O662rM-u0E.wav,A whoosh sound is heard loudly as a car revs its engines
Y1O7-QuhweZE.wav,Children screaming in the background as the sound of water flowing by
Y1O2vHreD6eI.wav,"A motor vehicle engine is running, a decelerating buzzing occurs, mechanical whines occur, and the motor vehicle engine accelerates"
Y1O5u-mBU2JI.wav,"A man speaking in a foreign language, can hear doves in the background"
Y1OCyUeuv2-Q.wav,Men speaking then sneezing
Y1OI6GPNHhLg.wav,A man speaks slowly and with strength
Y1OB2TC-aAqY.wav,A horse galloping
Y1OCv1wCGK-s.wav,"A child screams, an adult male is talking and vehicles are revving"
YkZ7_b_VVumc.wav,Splashing water with children speaking
YvvbK4KaEOTc.wav,Humming of an engine accelerating and revving
YOWhT0Gs-_q8.wav,Several explosions burst nearby as people grunt loudly
Yld9qe2J9Huk.wav,Someone snores briefly
Yoy2b5i_4-20.wav,A woman talking and then a cat meowing
YDJVEiFFUB6g.wav,A woman talks while frying something
Yoxs8A0Cdwwc.wav,Crashing waves and a gust of wind
YMDoHzN4CYYg.wav,Humming and vibrating of a motor
YkxZQJiOLSqE.wav,Honking of a horn of a passing train
YkxirwP8Idn0.wav,A man speaks then coughs followed by laughter
YMDSDhWhWfL8.wav,A train running followed by a train horn
YMDRJ8icmjgI.wav,A domestic animal is snoring and breathing loudly
YR8pcOO_A2uE.wav,Someone whistles nearby
YvfbOX5T8YDk.wav,Steam hissing as a train runs slowly on railroad tracks as gears crank and rumble
YBals78LmH5w.wav,Children speak and laugh with a man
YRmJE9uVdgAk.wav,A man yelling and ducks in the background
Y-5weqk40jaI.wav,Strong wind against the microphone simultaneously with heavy rain.
Y7PFt6ML7enY.wav,A child cries and yells and an adult speaks in response
Y7PBpJ4Uizfw.wav,Several sirens are wailing and a horn is honked twice
Y-62RXhX5GZk.wav,A dog grunts and an adult male speaks
Y-64ZmjOBlE8.wav,Water being turned on and off
Y-65gZY_yF3o.wav,Helicopter rotors drumming and squeaking bird
Y-668dhzzDQE.wav,Car engine sound in car race
Y-67q0yYR0zk.wav,People in a small crowd are speaking and a dog barks
Y-68677bCJWM.wav,Distressed cat growling and hissing violently while woman laughs and talks
Y-68L7q5JlL4.wav,Wind against a microphone on a speeding car
Y5sfQQb6HpSc.wav,A whistle and another man speaks and the whistling stops.
Y5seYj-vSnEc.wav,"Two men exchange words, then a car engine revs followed by a siren and fade in music"
Y5sWgFNwk5zY.wav,Someone fires a gun with others talking in the background
Y5sTt2AMCjSA.wav,A car is racing away very fast and its tires squeal a little
Y5sZnJLp9We4.wav,A loud siren whizzes past
Y5sXK2pdYAwg.wav,A woman hiccups and then women laugh and speak
YogXzNVUU3Xk.wav,"Coughing by woman and child, then woman and child speaking"
Y3qPzSfovVmk.wav,Truck engine running then a dragging noise
Y3qPBmioT8Fo.wav,"A dog is whining and whimpering, and an adult male is speaking"
Yog_JH9cxUeg.wav,Small frogs croak and chirp
Y3qNSaQnzWUs.wav,"The wind is blowing, a horse is trotting, and an adult male speaks"
Y3qKmsP6BPXM.wav,A car engine revving
Y3qOswVO4sb0.wav,A man is speaking
Y3qOK68-L2cU.wav,"An aircraft begins its takeoff, buzzing of small engines"
Y3qA8qMYz3Xw.wav,"A crowd is cheering and shouting, thumping occurs, an adult female speaks, and an adult male speaks"
Y3q94RIeQJ9Q.wav,"An adult female speaks, tapping occurs, and a dog barks"
Y3qKKDuwStA8.wav,A person is speaking and crumpling paper
Y3qC6_t1bjjw.wav,"Two adult females are speaking, a dog is panting, a squeak occurs, and whistling occurs"
Y689OVglGxKE.wav,A vehicle revs then explodes while a crowd cheers and an announcer exclaims
Y68AJ_1alYNg.wav,Man speaks while bees buzz
YxpRBnXZnRm0.wav,A man speaking followed by crinkling
YYkWrXaJNpn4.wav,A power tool hums and vibrates
YxpF_Jeaj7cs.wav,"A man speaking followed by a swoosh then a loud splash, then a man laughs"
YYkQ12wpHeUc.wav,Several birds tweet
YxpCI-rEY1kM.wav,A woman speaking with music playing and a toilet flushing
YxpE3LXuhJS8.wav,Vibrations and humming of a power drill
Y67qTV1MDXhc.wav,A bell chiming
Y67r_mSftdjk.wav,A woman giving a speech
Y67rvn9HIZsM.wav,The chirping of multiple birds accompanies gurgling water and crunching footsteps
Y67tVU2CeweE.wav,A domestic bird whistling
Y67yhKQpwvjo.wav,"People speak followed by spraying, then a phone rings"
Y67zyxZb-wQM.wav,A round of applause followed by a woman speaking
Y6813SgG-6Rk.wav,A door creaks open slowly
Y6850oZZoeb8.wav,"Traffic sounds are present and ongoing, an adult male is speaking, and metal clicking occurs"
YXbTazhNR5Cc.wav,A kid talks followed by a woman talking while several people laugh
Y3JNjTAf04rc.wav,People are talking and pig oinks
Y3JLBP8VnukU.wav,A dog whimpers repeatedly
Y2i8L8v2NTsY.wav,A man gives a speech
Y2i8w_CZEprk.wav,"Water flowing, wind blowing, a dog whimpers"
Y3JAjNVImec4.wav,People cheering and race cars racing by
Y2i82jVZy1pk.wav,"Some unidentified low sound, followed by a child laughter and a female chuckling"
Y3J9nGJ5dmsI.wav,Motorcycle driving away at high speeds
Y3J7NzRVaixM.wav,"The wind is blowing, an engine runs, and tires squeal"
Y2hyT23nJm_4.wav,"A female speaking, then a baby babbling, then a female cheering and clapping, followed by another female laughing and speaking"
Y2i-sTS4rNgs.wav,A big engine is sitting in idle
Y2hxTX4mb0bY.wav,"An adult male is speaking, a motor is running, rhythmic vibration, and water is gurgling"
Y2hxyWkenHI4.wav,"A rapping sound is present and is echoing in a room, and people in a crowd speak in the background"
YyuqiS8rSp64.wav,Humming and whooshing of a helicopter hovering close
Y8Cscq1H9Lng.wav,A vehicle driving and accelerating
Y8Cpw8deghns.wav,Crinkling noise followed by a man talking
Y8ClpqdlMMTE.wav,A small dog whimpering and howling
Y8Cpu6HuZppw.wav,Someone suddenly sneezes out loud
Y8CpkuIJ1aQg.wav,An adult male is speaking informatively
Y8CdmbbBcx14.wav,A kid speaking and another kid talks in the background
Y8C_A2FOG02E.wav,Bell chiming with a vehicle starting up
Y8Cl-_ONJOes.wav,A man is talking
Y8Cex_va7-8U.wav,"A horse walks, some wood creaks, and a man talks"
